"Transaction ID","Date","Transaction Type","Currency","Amount","Fee","Net Amount","Asset Type","Asset Price","Asset Amount","Status","Notes","Name of sender/receiver","Account"
"w2cz4kkm","2020-12-30 06:36:21 PST","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"rsrmtc","2020-11-20 08:56:34 PST","Stock Buy","USD","-$10","$0","-$10","TSLA","$494.20","0.02023472","COMPLETED","#recurring Cash Invest TSLA BUY trade","","Your Cash"
"mzgy4gl5","2020-11-20 08:56:34 PST","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"pmbaxk","2020-11-12 09:20:30 PST","Bitcoin Buy","USD","-$9.78","-$0.22","-$10","BTC","$16,171.70","0.00060476","COMPLETED","#recurring EVERY_TWO_WEEKS purchase of BTC 0.00060476","","Your Cash"
"vkw2iakk","2020-11-12 09:20:29 PST","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"de54dy","2020-11-06 11:38:59 PST","Stock Buy","USD","-$40","$0","-$40","ACB","$10.16","3.93700787","COMPLETED","Cash Invest ACB BUY trade","","Your Cash"
"k43k4hvg","2020-11-06 11:38:59 PST","Cash in","USD","$40","$0","$40",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"3w5pp6","2020-07-12 22:37:56 PDT","Stock Buy","USD","-$500","$0","-$500","TSLA","$1,719","0.29086678","COMPLETED","Cash Invest TSLA BUY trade","","Your Cash"
"qfo5wbjh","2020-07-12 22:37:55 PDT","Cash in","USD","$500","$0","$500",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"l58mw1","2020-07-11 23:03:15 PDT","Stock Buy","USD","-$5","$0","-$5","STMP","$213.28","0.02344336","COMPLETED","Cash Invest STMP BUY trade","","Your Cash"
"xv45xa3g","2020-07-11 23:03:14 PDT","Cash in","USD","$5","$0","$5",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"ezccgv","2020-07-11 23:02:46 PDT","Stock Buy","USD","-$5","$0","-$5","FSLY","$96.56","0.05178127","COMPLETED","Cash Invest FSLY BUY trade","","Your Cash"
"hwfnmevy","2020-07-11 23:02:46 PDT","Cash in","USD","$5","$0","$5",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"bg0tiy","2020-07-10 07:04:44 PDT","Stock Buy","USD","-$10","$0","-$10","TSLA","$1,379","0.00725163","COMPLETED","#recurring Cash Invest TSLA BUY trade","","Your Cash"
"aiq6g6pp","2020-07-10 07:04:44 PDT","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"xgi9q4","2020-07-09 08:16:22 PDT","Stock Buy","USD","-$1","$0","-$1","FSLY","$99.41","0.01005935","COMPLETED","Cash Invest FSLY BUY trade","","Your Cash"
"urkpx4ao","2020-07-09 08:16:22 PDT","Cash in","USD","$1","$0","$1",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"smq92x","2020-07-02 11:58:28 PDT","Stock Buy","USD","-$10","$0","-$10","ACB","$12.11","0.82576383","COMPLETED","Cash Invest ACB BUY trade","","Your Cash"
"zyczxh6o","2020-07-02 11:58:28 PDT","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"woubqn","2020-07-01 11:50:06 PDT","Stock Buy","USD","-$5","$0","-$5","ZM","$259.97","0.01923298","COMPLETED","Cash Invest ZM BUY trade","","Your Cash"
"uuqi5rav","2020-07-01 11:50:06 PDT","Cash in","USD","$5","$0","$5",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"n97ffk","2020-07-01 11:49:17 PDT","Stock Buy","USD","-$5","$0","-$5","AMZN","$2,843.01","0.0017587","COMPLETED","Cash Invest AMZN BUY trade","","Your Cash"
"z6tqul55","2020-07-01 11:49:17 PDT","Cash in","USD","$1","$0","$1",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"d9vawe","2020-07-01 11:48:09 PDT","Stock Buy","USD","-$1","$0","-$1","STMP","$196.19","0.00509709","COMPLETED","Cash Invest STMP BUY trade","","Your Cash"
"i3qctgj6","2020-07-01 11:43:51 PDT","Cash out","USD","-$20","$0","-$20",,"",,"TRANSFER SENT",,"","Your Cash"
"wmz2jtrq","2020-07-01 11:43:21 PDT","Cash out","USD","-$4","$0","-$4",,"",,"TRANSFER SENT",,"","Your Cash"
"8oazzz","2020-06-26 11:52:37 PDT","Bitcoin Buy","USD","-$0.97","-$0.03","-$1","BTC","$9,142.32","0.00010610","COMPLETED","purchase of BTC 0.00010610","","Your Cash"
"nzzii3pn","2020-06-25 06:07:37 PDT","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"vjwcdzkz","2020-06-25 06:07:23 PDT","Cash in","USD","$10","$0","$10",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"dr9dwu","2020-06-25 06:04:09 PDT","Stock Buy","USD","-$10","$0","-$10","TSLA","$955","0.0104712","COMPLETED","Cash Invest TSLA BUY trade","","Your Cash"
"kvdr5lgm","2020-06-25 06:04:09 PDT","Cash in","USD","$8.69","$0","$8.69",,"",,"TRANSFER DEPOSITED",,"","Your Cash"
"0xa69cf","2019-11-17 21:05:54 PST","Sent P2P","USD","-$70","$0","-$70",,"",,"PAYMENT SENT","Jason Chapman","Cassie Erwin","MasterCard Debit 1143"
"66r4rt6","2019-11-03 08:48:47 PST","Sent P2P","USD","-$80","$0","-$80",,"",,"PAYMENT SENT","Jason Chapman","Cassie Erwin","MasterCard Debit 1143"
"7hm6z1z","2019-10-16 17:06:26 PDT","Sent P2P","USD","-$85","$0","-$85",,"",,"PAYMENT SENT","Jason Chapman","Cassie Erwin","MasterCard Debit 1143"
"v9j7q1","2019-10-05 13:17:14 PDT","Cash Card Debit","USD","-$8.69","$0","-$8.69","","","","CARD CHARGED","TCGPLAYER.COM","","Visa Debit 3929"
"a69agse","2019-09-28 05:59:38 PDT","Received P2P","USD","$10","$0","$10",,"",,"PAYMENT DEPOSITED","trying Cash","Cash Team","Your Cash"
"fecagx5","2019-09-28 05:59:35 PDT","Sent P2P","USD","-$60","$0","-$60",,"",,"PAYMENT SENT",,"Cassie Erwin","MasterCard Debit 1143"
"sxmays6","2019-09-27 20:23:01 PDT","Sent P2P","USD","$60","$0","$60",,"",,"PAYMENT REVERSED","Tiger eye pendant","Cassie Erwin","MasterCard Debit 1143"
